,公司全称,英文名称,A股代码,A股简称,A股上市日期,省    份,城     市,所属行业,公司网址
szA_000026,飞亚达（集团）股份有限公司,FIYTA  HOLDINGS  LTD.,000026,飞亚达Ａ,1993-06-03,广东,深圳市,F 批发零售,www.fiytagroup.com
szA_000027,深圳能源集团股份有限公司,"Shenzhen Energy Group Co., Ltd.",000027,深圳能源,1993-09-03,广东,深圳市,D 水电煤气,www.sec.com.cn
szA_000028,国药集团一致药业股份有限公司,China National Accord Medicines Corporation Ltd.,000028,国药一致,1993-08-09,广东,深圳市,F 批发零售,www.szaccord.com.cn
szA_000029,深圳经济特区房地产(集团)股份有限公司,"ShenZhen Special Economic Zone Real Estate&Properties (Group) Co., Ltd.",000029,深深房Ａ,1993-09-15,广东,深圳市,K 房地产,www.sfjt.com.cn
szA_000030,富奥汽车零部件股份有限公司,FAWER Automotive Parts Limited Company,000030,富奥股份,1993-09-29,吉林,长春市,C 制造业,
szA_000031,中粮地产（集团）股份有限公司,"COFCO  PROPERTY (GROUP) CO.,LTD.",000031,中粮地产,1993-10-08,广东,深圳市,K 房地产,www.cofco-property.cn
szA_000032,深圳市桑达实业股份有限公司,"SHENZHEN SED INDUSTRY CO.,LTD",000032,深桑达Ａ,1993-10-28,广东,深圳市,F 批发零售,www.sedind.com
szA_000034,神州数码集团股份有限公司,"Digital China Group Co.,Ltd.",000034,神州数码,1994-05-09,广东,深圳市,F 批发零售,www.digitalchina.com
szA_000035,中国天楹股份有限公司, China Tianying Inc.,000035,中国天楹,1994-04-08,江苏,南通市,N 公共环保,www.chinakejian.net
szA_000036,华联控股股份有限公司,CHINA UNION HOLDINGS LTD.,000036,华联控股,1994-06-17,广东,深圳市,K 房地产,www.udcgroup.com
szA_000037,深圳南山热电股份有限公司,"SHENZHEN NANSHAN POWER STATION CO.,LTD",000037,深南电A,1994-07-01,广东,深圳市,D 水电煤气,www.nsrd.com.cn
szA_000038,深圳大通实业股份有限公司,"SHENZHEN CAPSTONE INDUSTRIAL CO.,LTD.",000038,深大通,1994-08-08,广东,深圳市,L 商务服务,www.chinadatong.com
szA_000039,中国国际海运集装箱(集团)股份有限公司,"CHINA INTERNATIONAL MARINE CONTAINERS (GROUP) CO., LTD",000039,中集集团,1994-04-08,广东,深圳市,C 制造业,www.cimc.com
szA_000040,东旭蓝天新能源股份有限公司,"TUNGHSU AZURE RENEWABLE ENERGY CO.,LTD.",000040,东旭蓝天,1994-08-08,广东,深圳市,E 建筑业,www.bahjdc.com
szA_000042,深圳市中洲投资控股股份有限公司,"SHENZHEN CENTRALCON INVESTMENT HOLDING CO., LTD",000042,中洲控股,1994-09-21,广东,深圳市,K 房地产,www.zztzkg.com
szA_000043,中航地产股份有限公司,AVIC REAL ESTATE HOLDING COMPANY LIMITED,000043,中航地产,1994-09-28,广东,深圳市,K 房地产,www.carec.com.cn
szA_000045,深圳市纺织(集团)股份有限公司,"SHENZHEN TEXTILE (HOLDINGS) CO., LTD",000045,深纺织Ａ,1994-08-15,广东,深圳市,C 制造业,www.chinasthc.com
szA_000046,泛海控股股份有限公司,"OCEANWIDE HOLDINGS CO., LTD.",000046,泛海控股,1994-09-12,北京,北京市,K 房地产,www.fhjs.cn
szA_000048,深圳市康达尔(集团)股份有限公司,"SHENZHEN KONDARL(GROUP)CO., LTD",000048,康达尔,1994-11-01,广东,深圳市,C 制造业,www.kondarl.com
szA_000049,深圳市德赛电池科技股份有限公司,"SHENZHEN DESAY BATTERY TECHNOLOGY CO.,LTD",000049,德赛电池,1995-03-20,广东,深圳市,C 制造业,www.desaybattery.com
szA_000050,天马微电子股份有限公司,"TIANMA MICROELECTRONICS CO., LTD",000050,深天马Ａ,1995-03-15,广东,深圳市,C 制造业,www.tianma.cn
szA_000055,方大集团股份有限公司,"CHINA FANGDA GROUP CO., LTD",000055,方大集团,1996-04-15,广东,深圳市,C 制造业,www.fangda.com
szA_000056,深圳市皇庭国际企业股份有限公司,"SHENZHEN WONGTEE INTERNATIONAL ENTERPRISE CO., LTD.",000056,皇庭国际,1996-07-08,广东,深圳市,K 房地产,www.china-ia.com
szA_000058,深圳赛格股份有限公司,"SHENZHEN SEG CO.,LTD",000058,深 赛 格,1996-12-26,广东,深圳市,L 商务服务,www.segcl.com.cn
szA_000059,北方华锦化学工业股份有限公司,"North Huajin Chemical Industries Co.,Ltd",000059,华锦股份,1997-01-30,辽宁,盘锦市,C 制造业,www.hjch.com
szA_000060,深圳市中金岭南有色金属股份有限公司,"SHENZHEN ZHONGJIN LINGNAN NONFEMET CO.,LTD",000060,中金岭南,1997-01-23,广东,深圳市,C 制造业,www.nonfemet.com
szA_000061,深圳市农产品股份有限公司,"SHENZHEN AGRICULTURAL PRODUCTS CO., LTD",000061,农 产 品,1997-01-10,广东,深圳市,L 商务服务,www.szap.com
szA_000062,深圳华强实业股份有限公司,"SHENZHEN HUAQIANG INDUSTRY CO., LTD",000062,深圳华强,1997-01-30,广东,深圳市,F 批发零售,www.szhq000062.com
szA_000063,中兴通讯股份有限公司,ZTE CORPORATION,000063,中兴通讯,1997-11-18,广东,深圳市,C 制造业,www.zte.com.cn
szA_000065,北方国际合作股份有限公司,NORINCO International Cooperation Ltd.,000065,北方国际,1998-06-05,北京,北京市,E 建筑业,www.norinco-intl.com
szA_000066,中国长城科技集团股份有限公司,"CHINA GREATWALL TECHNOLOGY GROUP CO., LTD.",000066,中国长城,1997-06-26,广东,深圳市,C 制造业,www.greatwall.cn
szA_000068,深圳华控赛格股份有限公司,"SHENZHEN HUAKONG SEG CO.,LTD.",000068,华控赛格,1997-06-11,广东,深圳市,C 制造业,www.ssg.com.cn
szA_000069,深圳华侨城股份有限公司,"SHENZHEN OVERSEAS CHINESE TOWN CO.,LTD",000069,华侨城Ａ,1997-09-10,广东,深圳市,N 公共环保,www.octholding.com
szA_000070,深圳市特发信息股份有限公司,"SHENZHEN SDG INFORMATION CO., LTD",000070,特发信息,2000-05-11,广东,深圳市,C 制造业,www.sdgi.com.cn
szA_000078,深圳市海王生物工程股份有限公司,"SHENZHEN NEPTUNUS BIOENGINEERING  CO.,LTD",000078,海王生物,1998-12-18,广东,深圳市,F 批发零售,www.neptunus.com
szA_000088,深圳市盐田港股份有限公司,"SHENZHEN YAN TIAN PORT HOLDINGS CO.,LTD",000088,盐 田 港,1997-07-28,广东,深圳市,G 运输仓储,www.yantian-port.com
szA_000089,深圳市机场股份有限公司,"SHENZHEN AIRPORT CO.,LTD",000089,深圳机场,1998-04-20,广东,深圳市,G 运输仓储,www.szairport.com
szA_000090,深圳市天健(集团)股份有限公司,"SHENZHEN TAGEN GROUP CO., LTD.",000090,天健集团,1999-07-21,广东,深圳市,E 建筑业,www.tagen.cn
szA_000096,深圳市广聚能源股份有限公司,"SHENZHEN GUANGJU ENERGY CO., LTD",000096,广聚能源,2000-07-24,广东,深圳市,F 批发零售,www.gj000096.com
szA_000099,中信海洋直升机股份有限公司,"CITIC OFFSHORE HELICOPTER CO.,LTD",000099,中信海直,2000-07-31,广东,深圳市,G 运输仓储,www.cohc.citic
szA_000100,TCL集团股份有限公司,TCL CORPORATION,000100,TCL 集团,2004-01-30,广东,惠州市,C 制造业,www.tcl.com
szA_000150,宜华健康医疗股份有限公司,"YIHUA HEALTHCARE Co., Ltd.",000150,宜华健康,2000-08-07,广东,汕头市,Q 卫生,www.yihuarealestate.com
szA_000151,中成进出口股份有限公司,CHINA NATIONAL COMPLETE PLANT IMPORT  &  EXPORT CORPORATION LIMITED,000151,中成股份,2000-09-06,北京,北京市,F 批发零售,www.complant-ltd.com
szA_000153,安徽丰原药业股份有限公司,"ANHUI FENGYUAN PHARMACEUTICAL CO., LTD",000153,丰原药业,2000-09-20,安徽,芜湖市,C 制造业,www.bbcayy.com
